Permutation,Num_Intervals,Strategy,Team Work Depletion,Team Work Depletion %,Cyclist init pos 0 Work Depleted,Cyclist init pos 0 Work Depleted %,Cyclist init pos 1 Work Depleted,Cyclist init pos 1 Work Depleted %,Cyclist init pos 2 Work Depleted,Cyclist init pos 2 Work Depleted %,Cyclist init pos 3 Work Depleted,Cyclist init pos 3 Work Depleted %,Expected Split Time per Lap,Expected Constant Velocity,Feasibility
"('M2', 'M1', 'M4', 'M3')",7,"(2.25, 3.75, 5.25, 10.25, 11.75, 14.25)",104756.6291638714,95.8497702856031,27292.09948106896,95.46733218405495,28361.53057767878,97.46230439064873,23656.572645021188,90.67492796662076,25446.42646010248,99.73047931179417,13.4,67.16417910447761,feasible
"('M2', 'M1', 'M4', 'M3')",8,"(2.25, 2.75, 3.25, 3.75, 5.25, 8.75, 11.75)",104761.32868291739,95.85407023134024,27144.913893086654,94.952479325983,28361.53057767878,97.46230439064873,24665.218862051708,94.54103843179398,24589.665350100255,96.37263272810209,13.4,67.16417910447761,feasible
"('M2', 'M3', 'M1', 'M4')",7,"(2.25, 2.75, 4.75, 7.75, 9.75, 13.75)",105266.39486182263,96.31619351283076,28383.390115429887,99.2846495572438,25341.7046118929,99.32004996790444,29046.841153284233,99.81732355080493,22494.45898121562,86.22058141626479,13.4,67.16417910447761,feasible
"('M2', 'M3', 'M1', 'M4')",8,"(2.25, 2.75, 3.75, 5.75, 7.75, 11.75, 14.75)",105244.74255370711,96.29638217701755,28548.0018668141,99.86045885918836,25341.70501699711,99.3200515556023,27961.384720380393,96.08723271608383,23393.650949515508,89.66715705413158,13.4,67.16417910447761,feasible
"('M2', 'M3', 'M4', 'M1')",7,"(2.25, 5.25, 7.75, 11.75, 13.25, 14.75)",105432.96534398329,96.468601456642,26720.47092498475,93.46778453886787,25341.700842608217,99.32003519519877,25831.16318724436,99.01006779147109,27539.630389145957,94.63790511734005,13.4,67.16417910447761,feasible
"('M2', 'M3', 'M4', 'M1')",8,"(2.25, 6.25, 9.25, 9.75, 11.25, 11.75, 12.25)",105701.51869176402,96.71432124449377,26885.08278684083,94.04359422724127,25341.70501699711,99.3200515556023,24891.738288009605,95.40928054530636,28582.99259991648,98.22334226775423,13.4,67.16417910447761,feasible
"('M2', 'M4', 'M1', 'M3')",7,"(2.25, 2.75, 4.75, 9.25, 10.75, 13.75)",104140.6439957549,95.28615882411796,26928.335932324808,94.19489304581654,24978.777966362242,95.74290100179816,28560.20196064548,98.14502391974392,23673.328136422373,92.78129350117314,13.4,67.16417910447761,feasible
"('M2', 'M4', 'M1', 'M3')",8,"(2.25, 4.75, 6.75, 8.25, 9.75, 10.75, 12.75)",104114.61252143492,95.2623406576336,27092.949372043156,94.77070825352719,24957.251646259203,95.66039126744151,27474.746153032294,94.41493523378796,24589.665350100255,96.37263272810209,13.4,67.16417910447761,feasible
"('M2', 'M4', 'M3', 'M1')",7,"(2.25, 2.75, 6.75, 10.75, 12.25, 15.25)",104112.10403473632,95.26004545325614,26616.538604829817,93.10423092732646,25024.081851553827,95.91654942450066,24445.21502708845,95.80649822692574,28026.26855126422,96.31020120709354,13.4,67.16417910447761,feasible
"('M2', 'M4', 'M3', 'M1')",8,"(2.25, 2.75, 6.25, 8.25, 9.75, 12.75, 13.75)",104441.8318225462,95.56173836730474,26781.161839943794,93.68008039917603,25002.561855422544,95.83406392973663,23588.46681687768,92.44870220052456,29069.64131030218,99.89567460584942,13.4,67.16417910447761,feasible
"('M3', 'M1', 'M2', 'M4')",7,"(2.25, 5.75, 6.25, 9.75, 12.75, 13.25)",106132.25852435676,97.10843772510607,24565.397054889734,96.27751961989335,29091.48868012365,99.97075147808815,28440.58177372183,99.48470507309378,24034.791015621544,92.12462755009182,13.4,67.16417910447761,feasible
"('M3', 'M1', 'M2', 'M4')",8,"(2.25, 2.75, 3.25, 4.75, 7.75, 11.25, 13.75)",105956.94547995552,96.94803054927338,24565.397054889734,96.27751961989335,29091.48868012365,99.97075147808815,27366.07685640963,95.72610387256691,24933.982888532508,95.57120282233575,13.4,67.16417910447761,feasible
"('M3', 'M1', 'M4', 'M2')",7,"(2.25, 2.75, 5.25, 8.25, 11.25, 14.75)",106159.97384235631,97.13379656764283,24565.397054889734,96.27751961989335,29091.48868012365,99.97075147808815,25468.728052684364,97.62086487471989,27034.360054658566,94.56576374828414,13.4,67.16417910447761,feasible
"('M3', 'M1', 'M4', 'M2')",8,"(2.25, 3.75, 4.25, 6.75, 9.75, 12.25, 15.25)",106255.04163736441,97.2207812900973,24565.397054889734,96.27751961989335,29091.48868012365,99.97075147808815,24529.308728418753,94.02009899724341,28068.847173932274,98.18438332441215,13.4,67.16417910447761,feasible
"('M3', 'M2', 'M1', 'M4')",7,"(-1,)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.4,67.16417910447761,infeasible
"('M3', 'M2', 'M1', 'M4')",8,"(-1,)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.4,67.16417910447761,infeasible
"('M3', 'M2', 'M4', 'M1')",7,"(2.25, 4.75, 5.25, 9.25, 12.25, 12.75)",105703.29964869961,96.71595077681575,24565.397054889734,96.27751961989335,28582.58357674032,99.9814251333773,25015.689200768575,95.88438064769512,27539.629816300974,94.63790314880059,13.4,67.16417910447761,feasible
"('M3', 'M2', 'M4', 'M1')",8,"(2.25, 2.75, 3.25, 3.75, 6.25, 8.75, 12.25)",105989.36727464858,96.97769570362573,22792.29873120963,89.32833380927234,28301.11727305018,98.99686045627564,26069.63930299067,99.9241395355708,28826.311967398102,99.05949129690069,13.4,67.16417910447761,feasible
"('M3', 'M4', 'M1', 'M2')",7,"(2.25, 4.75, 5.75, 8.75, 11.75, 12.75)",106266.00429749944,97.23081185774777,24565.397054889734,96.27751961989335,25794.247899810674,98.86857261044277,28560.201960645485,98.14502391974393,27346.157382153553,95.65642586677421,13.4,67.16417910447761,feasible
"('M3', 'M4', 'M1', 'M2')",8,"(2.25, 5.25, 8.25, 8.75, 11.75, 12.25, 13.25)",106193.50778696597,97.1644793121456,24565.395299232885,96.27751273906475,25772.719752593184,98.78605587281166,27474.745985417143,94.41493465779087,28380.646749722757,99.27505330740429,13.4,67.16417910447761,feasible
"('M3', 'M4', 'M2', 'M1')",7,"(2.25, 5.25, 6.75, 10.75, 13.75, 14.25)",105746.10776244434,96.75511916073133,24565.40036461495,96.2775325914783,25703.641519141333,98.52128109176887,28180.755022355017,98.5758352076499,27296.310856333046,93.80175552004482,13.4,67.16417910447761,feasible
"('M3', 'M4', 'M2', 'M1')",8,"(2.25, 5.25, 7.25, 8.25, 11.25, 11.75, 12.75)",105693.45381423365,96.70694207751562,24565.397054889734,96.27751961989335,25682.112627241506,98.43876149979288,27106.252406932956,94.81724205909833,28339.691725169443,97.38725678752385,13.4,67.16417910447761,feasible
"('M4', 'M1', 'M2', 'M3')",7,"(2.25, 5.75, 6.25, 10.75, 12.75, 13.25)",105878.50792741145,96.87626209458826,25055.815629608514,96.03818403668203,28604.849945160408,98.29845341979522,28544.514216220163,99.84825911259047,23673.328136422373,92.78129350117314,13.4,67.16417910447761,feasible
"('M4', 'M1', 'M2', 'M3')",8,"(2.25, 2.75, 4.25, 7.25, 9.25, 12.75, 14.25)",105861.18306131806,96.86041026307618,25196.65963987088,96.57803487123468,28604.85183236945,98.29845990504967,27470.004124567473,96.08963981230244,24589.667464510258,96.37264101496797,13.4,67.16417910447761,feasible
