,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0,0
21,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0,0
22,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0,0
23,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0,0
24,31542,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0,0
25,34122,31542,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0,0
26,36804,34122,31542,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0,0
27,28243,36804,34122,31542,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0,0
28,30352,28243,36804,34122,31542,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0,0
29,32536,30352,28243,36804,34122,31542,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0,0
30,34796,32536,30352,28243,36804,34122,31542,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0,0
31,37132,34796,32536,30352,28243,36804,34122,31542,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0,0
32,39544,37132,34796,32536,30352,28243,36804,34122,31542,29062,41486,37832,34346,31028,82077,74269,66834,59771,53081,46763,40817,35245,30044,36131,29246,34067,26206,25295,17354,13994,7364,0
