,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0,0
21,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0,0
22,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0,0
23,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0,0
24,30939,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0,0
25,31000,30939,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0,0
26,30953,31000,30939,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0,0
27,30834,30953,31000,30939,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0,0
28,30934,30834,30953,31000,30939,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0,0
29,30953,30934,30834,30953,31000,30939,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0,0
30,30892,30953,30934,30834,30953,31000,30939,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0,0
31,30751,30892,30953,30934,30834,30953,31000,30939,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0,0
32,30528,30751,30892,30953,30934,30834,30953,31000,30939,30771,30933,31242,31374,31327,31594,32901,33812,34327,34447,34171,33499,32432,30969,29929,28704,27058,24868,21887,18134,13421,7430,0
