,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0,0
21,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0,0
22,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0,0
23,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0,0
24,34924,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0,0
25,37799,34924,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0,0
26,40786,37799,34924,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0,0
27,31167,40786,37799,34924,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0,0
28,33512,31167,40786,37799,34924,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0,0
29,35943,33512,31167,40786,37799,34924,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0,0
30,38458,35943,33512,31167,40786,37799,34924,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0,0
31,41058,38458,35943,33512,31167,40786,37799,34924,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0,0
32,43743,41058,38458,35943,33512,31167,40786,37799,34924,32163,46113,42035,38146,34444,91705,82970,74652,66751,59269,52204,45557,39327,33515,40359,32658,38084,29288,28287,19401,15653,8238,0
